Khalil Mack,LAC,"$38,517,500",38517500
Joey Bosa,LAC,"$36,611,666",36611666
Keenan Allen,LAC,"$34,717,500",34717500
Mike Williams,LAC,"$32,460,000",32460000
Derwin James,LAC,"$19,856,494",19856494
Justin Herbert,LAC,"$19,345,675",19345675
Corey Linsley,LAC,"$14,100,000",14100000
Eric Kendricks,LAC,"$9,250,000",9250000
Trey Pipkins,LAC,"$8,750,000",8750000
Rashawn Slater,LAC,"$5,291,923",5291923
Morgan Fox,LAC,"$4,750,000",4750000
Zion Johnson,LAC,"$4,021,822",4021822
Quentin Johnston,LAC,"$3,224,724",3224724
J.K. Scott,LAC,"$2,510,000",2510000
Asante Samuel Jr.,LAC,"$2,298,211",2298211
Josh Palmer,LAC,"$1,601,109",1601109
Tuli Tuipulotu,LAC,"$1,493,496",1493496
Josh Harris,LAC,"$1,460,000",1460000
J.T. Woods,LAC,"$1,439,029",1439029
Donald Parham,LAC,"$1,325,000",1325000
Chris Rumph II,LAC,"$1,243,385",1243385
Daiyan Henley,LAC,"$1,231,915",1231915
Isaiah Spiller,LAC,"$1,169,238",1169238
Brenden Jaimes,LAC,"$1,134,449",1134449
Nick Niemann,LAC,"$1,108,502",1108502
Derius Davis,LAC,"$1,092,982",1092982
Otito Ogbonnia,LAC,"$1,064,722",1064722
Simi Fehoko,LAC,"$1,055,000",1055000
Jamaree Salyer,LAC,"$1,028,983",1028983
Ja'Sir Taylor,LAC,"$1,018,003",1018003
Deane Leonard,LAC,"$1,009,916",1009916
Jordan McFadden,LAC,"$993,035",993035
Stone Smartt,LAC,"$986,668",986668
Christopher Hinton,LAC,"$985,000",985000
Jaret Patterson,LAC,"$985,000",985000
Scott Matlock,LAC,"$958,073",958073
A.J. Finley,LAC,"$915,000",915000
Andrew Farmer,LAC,"$915,000",915000
Elijah Dotson,LAC,"$915,000",915000
Andrew Trainer,LAC,"$798,334",798334
A.J. Uzodinma,LAC,"$795,666",795666
Jerrod Clark,LAC,"$795,000",795000
Max Duggan,LAC,"$795,000",795000
Matt Hankins,LAC,"$795,000",795000
Brent Laing,LAC,"$795,000",795000
C.J. Okoye,LAC,"$795,000",795000
Chris Wilcox,LAC,"$795,000",795000
Brevin Allen,LAC,"$795,000",795000
Ty Shelby,LAC,"$795,000",795000
