Matt Judon,NE,"$14,675,850",14675850
J.C. Jackson,NE,"$14,375,000",14375000
Jonathan Jones,NE,"$12,573,529",12573529
Davon Godchaux,NE,"$11,800,000",11800000
JuJu Smith-Schuster,NE,"$10,280,392",10280392
David Andrews,NE,"$8,425,000",8425000
Deatrich Wise,NE,"$7,641,176",7641176
Jabrill Peppers,NE,"$6,470,000",6470000
DeVante Parker,NE,"$6,466,666",6466666
Ja'Whaun Bentley,NE,"$5,673,333",5673333
Mac Jones,NE,"$4,959,290",4959290
Adrian Phillips,NE,"$4,187,500",4187500
Calvin Anderson,NE,"$3,595,000",3595000
Lawrence Guy,NE,"$3,500,000",3500000
Christian Gonzalez,NE,"$3,432,470",3432470
Cole Strange,NE,"$3,342,538",3342538
Jahlani Tavai,NE,"$3,158,334",3158334
Chris Board,NE,"$2,897,500",2897500
Christian Barmore,NE,"$2,711,631",2711631
Trent Brown,NE,"$2,036,765",2036765
Tyquan Thornton,NE,"$1,923,780",1923780
Keion White,NE,"$1,770,493",1770493
Daniel Ekuale,NE,"$1,680,000",1680000
Joe Cardona,NE,"$1,553,000",1553000
Marcus Jones,NE,"$1,411,896",1411896
Raekwon McMillan,NE,"$1,390,000",1390000
JaMycal Hasty,NE,"$1,367,059",1367059
Marte Mapu,NE,"$1,264,479",1264479
Rhamondre Stevenson,NE,"$1,242,265",1242265
Conor McDermott,NE,"$1,210,000",1210000
Jake Andrews,NE,"$1,117,086",1117086
Chad Ryland,NE,"$1,111,687",1111687
Sidy Sow,NE,"$1,106,029",1106029
Marco Wilson,NE,"$1,055,000",1055000
Shaun Wade,NE,"$1,055,000",1055000
Sam Roberts,NE,"$1,027,869",1027869
Atonio Mafi,NE,"$998,885",998885
Brenden Schooler,NE,"$990,000",990000
Ke'Shawn Vaughn,NE,"$985,000",985000
Trysten Hill,NE,"$985,000",985000
Kevin Harris,NE,"$985,000",985000
Bailey Zappe,NE,"$985,000",985000
Joe Giles-Harris,NE,"$985,000",985000
Michael Jordan,NE,"$985,000",985000
Vederian Lowe,NE,"$985,000",985000
Kayshon Boutte,NE,"$961,818",961818
Bryce Baringer,NE,"$959,614",959614
Demario Douglas,NE,"$948,333",948333
Isaiah Bolden,NE,"$935,421",935421
Joshuah Bledsoe,NE,"$915,000",915000
Jeremiah Pharms,NE,"$915,000",915000
William Bradley-King,NE,"$915,000",915000
Andrew Stueber,NE,"$795,000",795000
La'Michael Pettway,NE,"$795,000",795000
T.J. Luther,NE,"$795,000",795000
Azizi Hearn,NE,"$795,000",795000
Jalen Mills,NE,"$625,000",625000
