Haason Reddick,PHI,"$21,877,000","21,877,000"
Lane Johnson,PHI,"$16,115,000","16,115,000"
Kevin Byard,PHI,"$14,417,088","14,417,088"
Jalen Hurts,PHI,"$13,558,800","13,558,800"
A.J. Brown,PHI,"$12,428,894","12,428,894"
Darius Slay,PHI,"$10,996,000","10,996,000"
Jordan Mailata,PHI,"$10,761,000","10,761,000"
Jason Kelce,PHI,"$10,178,000","10,178,000"
Avonte Maddox,PHI,"$9,676,913","9,676,913"
Dallas Goedert,PHI,"$9,131,583","9,131,583"
Josh Sweat,PHI,"$9,077,000","9,077,000"
Brandon Graham,PHI,"$7,930,000","7,930,000"
DeVonta Smith,PHI,"$6,408,625","6,408,625"
Jake Elliott,PHI,"$5,952,000","5,952,000"
Fletcher Cox,PHI,"$5,700,000","5,700,000"
Jalen Carter,PHI,"$4,955,951","4,955,951"
Jordan Davis,PHI,"$4,626,638","4,626,638"
James Bradberry,PHI,"$4,335,000","4,335,000"
Marcus Mariota,PHI,"$3,068,000","3,068,000"
Landon Dickerson,PHI,"$2,754,395","2,754,395"
Nolan Smith,PHI,"$2,725,549","2,725,549"
Cameron Jurgens,PHI,"$1,882,643","1,882,643"
Milton Williams,PHI,"$1,625,967","1,625,967"
Nakobe Dean,PHI,"$1,419,448","1,419,448"
Tyler Steen,PHI,"$1,306,918","1,306,918"
Sydney Brown,PHI,"$1,306,615","1,306,615"
Zech McPhearson,PHI,"$1,237,414","1,237,414"
Fred Johnson,PHI,"$1,225,000","1,225,000"
Kenneth Gainwell,PHI,"$1,138,881","1,138,881"
Kelee Ringo,PHI,"$1,120,232","1,120,232"
Marlon Tuipulotu,PHI,"$1,103,978","1,103,978"
Patrick Johnson,PHI,"$1,081,468","1,081,468"
Isaiah Rodgers,PHI,"$1,055,000","1,055,000"
Terrell Lewis,PHI,"$1,055,000","1,055,000"
Le'Raven Clark,PHI,"$1,035,000","1,035,000"
Grant Calcaterra,PHI,"$1,028,535","1,028,535"
Jacob Harris,PHI,"$997,500","997,500"
Josh Jobe,PHI,"$988,334","988,334"
Reed Blankenship,PHI,"$986,667","986,667"
Tarron Jackson,PHI,"$985,000","985,000"
Britain Covey,PHI,"$985,000","985,000"
Brett Toth,PHI,"$985,000","985,000"
Tanner McKee,PHI,"$961,630","961,630"
Moro Ojomo,PHI,"$934,446","934,446"
Eli Ricks,PHI,"$918,333","918,333"
Thomas Booker,PHI,"$915,000","915,000"
Mario Goodrich,PHI,"$915,000","915,000"
Ben VanSumeren,PHI,"$915,000","915,000"
Lecitus Smith,PHI,"$915,000","915,000"
Brandon Smith,PHI,"$915,000","915,000"
Tristin McCollum,PHI,"$915,000","915,000"
Mekhi Garner,PHI,"$915,000","915,000"
Shaq Davis,PHI,"$832,500","832,500"
Austin Watkins,PHI,"$820,000","820,000"
E.J. Jenkins,PHI,"$815,000","815,000"
Griffin Hebert,PHI,"$795,000","795,000"
Tiawan Mullen,PHI,"$795,000","795,000"
Jason Poe,PHI,"$795,000","795,000"
Noah Elliss,PHI,"$795,000","795,000"
Lew Nichols III,PHI,"$795,000","795,000"
Joseph Ngata,PHI,"$795,000","795,000"
