Harold Landry,TEN,"$23,800,000","23,800,000"
Jeffery Simmons,TEN,"$21,652,941","21,652,941"
DeAndre Hopkins,TEN,"$17,963,000","17,963,000"
Andre Dillard,TEN,"$10,678,000","10,678,000"
Amani Hooker,TEN,"$9,317,647","9,317,647"
Ryan Tannehill,TEN,"$9,200,000","9,200,000"
Derrick Henry,TEN,"$5,400,000","5,400,000"
Peter Skoronski,TEN,"$4,471,209","4,471,209"
Caleb Farley,TEN,"$4,294,018","4,294,018"
Arden Key,TEN,"$4,220,000","4,220,000"
Treylon Burks,TEN,"$3,918,979","3,918,979"
Daniel Brunskill,TEN,"$3,831,765","3,831,765"
Elijah Molden,TEN,"$3,202,154","3,202,154"
Azeez Al-Shaair,TEN,"$2,536,000","2,536,000"
Roger McCreary,TEN,"$2,499,713","2,499,713"
Will Levis,TEN,"$2,168,673","2,168,673"
Luke Gifford,TEN,"$2,160,000","2,160,000"
Dillon Radunz,TEN,"$2,013,096","2,013,096"
Sean Murphy-Bunting,TEN,"$1,613,334","1,613,334"
Nicholas Petit-Frere,TEN,"$1,440,104","1,440,104"
Malik Willis,TEN,"$1,407,300","1,407,300"
Tyjae Spears,TEN,"$1,247,864","1,247,864"
Rashad Weaver,TEN,"$1,219,916","1,219,916"
Hassan Haskins,TEN,"$1,158,052","1,158,052"
Chigoziem Okonkwo,TEN,"$1,111,084","1,111,084"
Kyle Philips,TEN,"$1,063,332","1,063,332"
Quinton Bohanna,TEN,"$1,055,000","1,055,000"
Garret Wallow,TEN,"$1,055,000","1,055,000"
Josh Whyle,TEN,"$996,342","996,342"
Ryan Stonehouse,TEN,"$988,334","988,334"
Tre Avery,TEN,"$985,000","985,000"
Lachavious Simmons,TEN,"$985,000","985,000"
Mike Brown,TEN,"$985,000","985,000"
JoJo Domann,TEN,"$985,000","985,000"
Tay Gowan,TEN,"$985,000","985,000"
Jaelyn Duncan,TEN,"$962,452","962,452"
Colton Dowell,TEN,"$940,674","940,674"
Caleb Murphy,TEN,"$916,666","916,666"
TK McLendon,TEN,"$915,000","915,000"
Shyheim Carter,TEN,"$915,000","915,000"
Eric Garror,TEN,"$915,000","915,000"
Keondre Coburn,TEN,"$915,000","915,000"
Mason Kinsey,TEN,"$915,000","915,000"
Chance Campbell,TEN,"$915,000","915,000"
John Ojukwu,TEN,"$915,000","915,000"
Otis Reese,TEN,"$915,000","915,000"
Andrew Rupcich,TEN,"$915,000","915,000"
Anthony Kendall,TEN,"$915,000","915,000"
Ty Zentner,TEN,"$915,000","915,000"
Kearis Jackson,TEN,"$915,000","915,000"
Matt Jackson,TEN,"$915,000","915,000"
Shakel Brown,TEN,"$801,666","801,666"
Tre'Shaun Harrison,TEN,"$795,000","795,000"
Thomas Rush,TEN,"$795,000","795,000"
Thomas Odukoya,TEN,"$795,000","795,000"
