D.K. Metcalf,"$13,720,000",SEA
Quandre Diggs,"$11,937,500",SEA
Jamal Adams,"$11,496,666",SEA
Tyler Lockett,"$11,060,000",SEA
Geno Smith,"$10,100,000",SEA
Dre'Mont Jones,"$10,056,666",SEA
Will Dissly,"$9,190,000",SEA
Bobby Wagner,"$7,000,000",SEA
Noah Fant,"$6,850,000",SEA
Devon Witherspoon,"$5,792,937",SEA
Charles Cross,"$4,859,915",SEA
Drew Lock,"$4,000,000",SEA
Julian Love,"$3,910,000",SEA
Jordyn Brooks,"$3,893,147",SEA
Devin Bush,"$3,500,000",SEA
Michael Dickson,"$3,300,000",SEA
Damien Lewis,"$3,274,299",SEA
Jason Myers,"$3,040,000",SEA
Jarran Reed,"$3,030,000",SEA
Jaxon Smith-Njigba,"$2,621,329",SEA
Nick Bellore,"$2,600,000",SEA
Evan Brown,"$2,250,000",SEA
Darrell Taylor,"$2,152,345",SEA
Boye Mafe,"$1,945,968",SEA
Kenneth Walker III,"$1,918,541",SEA
Derick Hall,"$1,657,382",SEA
Zach Charbonnet,"$1,250,196",SEA
Abraham Lucas,"$1,225,380",SEA
D'Wayne Eskridge,"$1,223,276",SEA
Colby Parkinson,"$1,177,610",SEA
DeeJay Dallas,"$1,133,600",SEA
Tre Brown,"$1,100,166",SEA
Mario Edwards Jr.,"$1,092,500",SEA
Stone Forsythe,"$981,656",SEA
Tariq Woolen,"$953,054",SEA
Anthony Bradford,"$950,997",SEA
Coby Bryant,"$940,285",SEA
Michael Jackson Sr.,"$940,000",SEA
Cameron Young,"$931,877",SEA
Myles Adams,"$870,000",SEA
Artie Burns,"$835,556",SEA
Olusegun Oluwatimi,"$829,115",SEA
Jon Rhattigan,"$783,333",SEA
Jake Bobo,"$753,333",SEA
Chris Stoll,"$752,166",SEA
Frank Clark,"$711,944",SEA
McClendon Curtis,"$708,333",SEA
Raiqwon O'Neal,"$708,333",SEA
Dareke Young,"$697,775",SEA
Brady Russell,"$666,667",SEA
Leonard Williams,"$647,222",SEA
Kenny McIntosh,"$622,713",SEA
Jason Peters,"$417,778",SEA
